case_id,state,district,case_type,ipc_section,bailable,judge_seniority,pleading_complexity,pleading_sentiment,filing_date,disposal_date,judge_id,adjournment_count,backlog_size,outcome,duration_days
CAS-10000,Tamil Nadu,Tamil Nadu_District_8,Property,NA,0,22,0.24,-0.55,2022-08-25,2031-03-05,JDG-2,12,3944,Allowed,3114
CAS-10001,Delhi,Delhi_District_5,Civil,NA,0,13,0.65,-0.79,2021-12-18,2028-12-30,JDG-42,18,974,Dismissed,2569
CAS-10002,Karnataka,Karnataka_District_7,Family,NA,0,4,0.87,0.29,2020-07-18,2029-11-16,JDG-2,10,5893,Dismissed,3408
CAS-10003,Tamil Nadu,Tamil Nadu_District_7,Family,NA,0,9,0.13,0.65,2022-11-12,2028-02-22,JDG-2,5,2085,Allowed,1928
CAS-10004,Delhi,Delhi_District_4,Property,NA,0,19,0.8,0.7,2022-06-29,2031-10-22,JDG-40,5,5411,Settled,3402
CAS-10005,Uttar Pradesh,Uttar Pradesh_District_2,Property,NA,0,14,0.23,0.48,2022-09-29,2028-10-05,JDG-1,2,3068,Dismissed,2198
CAS-10006,Karnataka,Karnataka_District_3,Civil,NA,0,9,0.76,0.43,2019-05-15,2027-05-27,JDG-9,6,4061,Allowed,2934
CAS-10007,Maharashtra,Maharashtra_District_7,Property,NA,0,4,0.63,-0.36,2020-09-04,2030-05-04,JDG-47,4,5556,Allowed,3529
CAS-10008,Karnataka,Karnataka_District_1,Property,NA,0,24,0.79,-0.01,2023-01-24,2028-05-29,JDG-32,10,706,Dismissed,1952
CAS-10009,Maharashtra,Maharashtra_District_4,Property,NA,0,5,0.92,-0.4,2022-04-09,2030-07-07,JDG-29,14,2178,Settled,3011
CAS-10010,Karnataka,Karnataka_District_3,Family,NA,0,3,0.66,-0.33,2022-09-25,2030-10-01,JDG-30,22,3193,Allowed,2928
CAS-10011,Karnataka,Karnataka_District_7,Family,NA,0,8,0.92,-0.36,2022-07-06,2032-09-18,JDG-39,21,5568,Allowed,3727
CAS-10012,Karnataka,Karnataka_District_9,Property,NA,0,2,0.21,-0.26,2022-02-10,2031-09-23,JDG-49,16,3945,Allowed,3512
CAS-10013,Tamil Nadu,Tamil Nadu_District_7,Criminal,498A,0,6,0.36,-0.74,2020-10-03,2030-11-10,JDG-28,18,4597,Allowed,3690
CAS-10014,Uttar Pradesh,Uttar Pradesh_District_1,Civil,NA,0,20,0.71,0.05,2020-02-05,2028-12-06,JDG-38,7,5431,Settled,3227
