case_id,state,district,court_type,case_type,sub_type,filing_date,first_hearing_date,last_hearing_date,judgment_date,duration_days,adjournment_count,hearing_count,avg_hearing_gap_days,stage_count,case_complexity,evidence_quality,lawyer_experience_years,lawyer_win_rate,judge_experience_years,court_backlog,number_of_parties,delay_tactics_used,opponent_aggressiveness,evidence_delay_days,procedural_abuse_score,outcome,resolution_type,data_quality_flag,out_of_distribution_flag
LC000001,Gujarat,Vadodara,Labour Court,criminal,Robbery,2015-04-08,2015-05-05,2016-05-26,2016-06-21,440,7,10,44,5,0.868,0.372,3,0.499,2,1736,5,true,0.44,0,0.351,Settled,Mediation,clean,false
LC000002,Tamil Nadu,Madurai,District Court,civil,Contract Breach,2012-08-24,2012-11-17,2013-08-13,2013-09-10,382,5,13,29,6,0.445,0.23,8,0.382,23,2447,2,false,0.35,0,0.221,Settled,Settlement,clean,false
LC000003,Uttar Pradesh,Kanpur Nagar,Family Court,civil,Defamation,2013-09-30,2013-11-29,2014-12-08,2015-01-08,465,6,10,46,2,0.863,0.69,12,0.375,17,1696,2,false,0.258,6,0.259,Plaintiff Won,Trial,clean,false
LC000004,Uttar Pradesh,Aligarh,Labour Court,criminal,Robbery,2019-11-15,2020-01-12,2020-08-02,2020-09-17,307,4,6,51,5,0.85,0.34,19,0.539,2,835,2,false,0.343,27,0.389,Defendant Won,Summary Judgment,clean,false
LC000005,Uttar Pradesh,Bareilly,Magistrate Court,civil,Easement,2014-05-01,2014-06-12,2015-09-07,2015-10-23,540,9,13,41,7,0.98,0.706,3,0.108,19,1615,2,true,0.434,1,0.528,Partially Allowed,Trial,clean,false
LC000006,Bihar,Muzaffarpur,Consumer Forum,civil,Partition,2010-02-14,2010-03-03,2011-02-22,2011-04-09,419,4,9,46,8,0.513,0.645,1,0.39,16,2097,4,true,0.225,11,0.269,Defendant Won,Default Judgment,clean,false
LC000007,Haryana,Ambala,High Court,criminal,Assault,2018-02-07,2018-02-26,2020-01-08,2020-02-19,742,8,12,61,6,0.579,0.355,10,0.513,25,3526,2,false,0.323,6,0.416,Plaintiff Won,Dismissed on Merit,clean,false
LC000008,Uttar Pradesh,Varanasi,Sessions Court,civil,Property Dispute,2019-12-14,2020-03-04,2021-11-05,2021-11-21,708,7,15,47,6,0.412,0.276,13,0.676,24,3498,4,false,0.329,47,0.219,Defendant Won,Trial,clean,false
LC000009,Assam,Barpeta,Magistrate Court,criminal,Robbery,2016-10-28,2017-01-10,2017-12-08,2018-01-04,433,9,17,25,3,0.758,0.332,24,0.511,6,2090,4,false,0.503,15,0.371,Plaintiff Won,Default Judgment,clean,false
LC000010,Tripura,Unakoti,Family Court,civil,Mortgage,2021-03-26,2021-05-03,2021-10-25,2021-12-12,261,12,16,16,4,0.272,0.812,10,0.83,7,4497,2,true,0.558,12,0.259,Settled,Lok Adalat,clean,false
LC000011,Odisha,Mayurbhanj,Magistrate Court,criminal,Murder,2018-05-25,2018-07-22,2019-07-07,2019-08-21,453,10,18,25,5,0.229,0.234,8,0.847,11,4419,3,false,0.537,0,0.382,Partially Allowed,Trial,clean,false
LC000012,Delhi,North West Delhi,Labour Court,civil,Property Dispute,2021-09-01,2021-09-21,2024-02-21,2024-03-30,941,5,9,104,5,0.706,0.163,9,0.671,7,4166,2,true,0.453,7,0.23,Plaintiff Won,Dismissed on Merit,clean,false
